Song,Artist,source,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Watermelon Sugar,Harry Styles,not_hot,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,audio_features,6UelLqGlWMcVH1E5c4H7lY,spotify:track:6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/audio-analysis/6UelLqGlWMcVH1E5c4H7lY,174000,4
NOT SOBER (feat. Polo G & Stunna Gambino),The Kid LAROI,not_hot,0zdN6ZUGcm4rrzbYKoiJgi,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,audio_features,0zdN6ZUGcm4rrzbYKoiJgi,spotify:track:0zdN6ZUGcm4rrzbYKoiJgi,https://api.spotify.com/v1/tracks/0zdN6ZUGcm4rrzbYKoiJgi,https://api.spotify.com/v1/audio-analysis/0zdN6ZUGcm4rrzbYKoiJgi,175238,4
RAPSTAR,Polo G,not_hot,2KtGiBi5CrX2ERPD2PAS34,0.657,0.871,7,-4.614,1,0.0675,0.0031,0.0,0.102,0.532,114.974,audio_features,2KtGiBi5CrX2ERPD2PAS34,spotify:track:2KtGiBi5CrX2ERPD2PAS34,https://api.spotify.com/v1/tracks/2KtGiBi5CrX2ERPD2PAS34,https://api.spotify.com/v1/audio-analysis/2KtGiBi5CrX2ERPD2PAS34,179640,4
You Right,"Doja Cat, The Weeknd",not_hot,7aRCf5cLOFN1U7kvtChY1G,0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,audio_features,7aRCf5cLOFN1U7kvtChY1G,spotify:track:7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/tracks/7aRCf5cLOFN1U7kvtChY1G,https://api.spotify.com/v1/audio-analysis/7aRCf5cLOFN1U7kvtChY1G,272113,4
911 - Remix,"Sech, Jhay Cortez",not_hot,7ro0hRteUMfnOioTFI5TG1,0.652,0.8,9,-4.019,0,0.0614,0.143,0.629,0.112,0.234,143.978,audio_features,7ro0hRteUMfnOioTFI5TG1,spotify:track:7ro0hRteUMfnOioTFI5TG1,https://api.spotify.com/v1/tracks/7ro0hRteUMfnOioTFI5TG1,https://api.spotify.com/v1/audio-analysis/7ro0hRteUMfnOioTFI5TG1,231704,4
DÁKITI,"Bad Bunny, Jhay Cortez",not_hot,5w40ZYhbBMAlHYNDaVJIUu,0.498,0.897,2,-4.907,1,0.045,0.00136,0.0,0.118,0.373,169.902,audio_features,5w40ZYhbBMAlHYNDaVJIUu,spotify:track:5w40ZYhbBMAlHYNDaVJIUu,https://api.spotify.com/v1/tracks/5w40ZYhbBMAlHYNDaVJIUu,https://api.spotify.com/v1/audio-analysis/5w40ZYhbBMAlHYNDaVJIUu,184013,4
Miénteme,"TINI, Maria Becerra",not_hot,6ebo7CQn4ILLGvXRmXHhQz,0.85,0.546,2,-4.534,1,0.0654,0.161,6.13e-06,0.296,0.906,92.002,audio_features,6ebo7CQn4ILLGvXRmXHhQz,spotify:track:6ebo7CQn4ILLGvXRmXHhQz,https://api.spotify.com/v1/tracks/6ebo7CQn4ILLGvXRmXHhQz,https://api.spotify.com/v1/audio-analysis/6ebo7CQn4ILLGvXRmXHhQz,165275,4
"jealousy, jealousy",Olivia Rodrigo,not_hot,1UMm1Qs3u59Wvk53zBUE8r,0.785,0.863,7,-4.599,0,0.0893,0.0883,0.0,0.0929,0.962,130.132,audio_features,1UMm1Qs3u59Wvk53zBUE8r,spotify:track:1UMm1Qs3u59Wvk53zBUE8r,https://api.spotify.com/v1/tracks/1UMm1Qs3u59Wvk53zBUE8r,https://api.spotify.com/v1/audio-analysis/1UMm1Qs3u59Wvk53zBUE8r,156501,3
Poblado - Remix,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",not_hot,1WedZeiezCmCEOzLwhx0hV,0.813,0.809,3,-5.382,0,0.0846,0.102,1.37e-06,0.377,0.646,93.005,audio_features,1WedZeiezCmCEOzLwhx0hV,spotify:track:1WedZeiezCmCEOzLwhx0hV,https://api.spotify.com/v1/tracks/1WedZeiezCmCEOzLwhx0hV,https://api.spotify.com/v1/audio-analysis/1WedZeiezCmCEOzLwhx0hV,393280,4
Dynamite,BTS,not_hot,5QDLhrAOJJdNAmCTJ8xMyW,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,audio_features,5QDLhrAOJJdNAmCTJ8xMyW,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,https://api.spotify.com/v1/tracks/5QDLhrAOJJdNAmCTJ8xMyW,https://api.spotify.com/v1/audio-analysis/5QDLhrAOJJdNAmCTJ8xMyW,199054,4
